key,Code,Faction,Class,KB,D,HK,DD,HD,Honor,Rol,Win
276,WG15,Horde,Rogue,3,1,32,9029,397,365,dps,1.0
277,WG15,Horde,Druid,6,0,33,24448,4582,367,dps,1.0
278,WG15,Horde,Hunter,9,0,35,19884,3425,371,dps,1.0
279,WG15,Horde,Paladin,0,0,26,2599,1641,353,dps,1.0
280,WG15,Horde,Shaman,0,0,27,1954,15099,505,heal,1.0
281,WG15,Horde,Warrior,3,0,36,11996,1038,523,dps,1.0
282,WG15,Alliance,Demon Hunter,1,2,1,10741,1466,107,dps,0.0
283,WG15,Alliance,Priest,0,3,1,955,8527,107,heal,0.0
284,WG15,Alliance,Rogue,0,3,1,9862,211,107,dps,0.0
285,WG15,Horde,Warrior,6,0,36,18433,2831,373,dps,1.0
286,WG15,Horde,Druid,0,0,35,911,26698,521,heal,1.0
287,WG15,Alliance,Warrior,0,4,1,3043,2887,107,dps,0.0
288,WG15,Alliance,Hunter,0,5,1,7294,3281,107,dps,0.0
289,WG15,Horde,Paladin,4,0,36,14970,3268,373,dps,1.0
290,WG15,Alliance,Druid,0,2,0,0,10195,95,heal,0.0
291,WG15,Alliance,Warlock,0,4,0,16450,7277,105,dps,0.0
292,WG15,Horde,Monk,6,0,34,23189,6444,369,dps,1.0
293,WG15,Alliance,Rogue,0,5,1,6858,2459,107,dps,0.0
294,WG16,Alliance,Priest,10,4,58,40092,14538,419,dps,1.0
295,WG16,Alliance,Death Knight,12,6,53,31347,14346,410,dps,1.0
296,WG16,Alliance,Druid,9,2,62,70441,494,430,dps,1.0
297,WG16,Horde,Priest,2,4,22,17089,15538,228,dps,0.0
298,WG16,Alliance,Mage,4,1,61,35490,3726,425,dps,1.0
299,WG16,Horde,Demon Hunter,1,7,25,29034,1174,234,dps,0.0
300,WG16,Horde,Warrior,5,4,25,19992,3683,233,dps,0.0
301,WG16,Horde,Paladin,3,11,21,24742,11005,230,dps,0.0
302,WG16,Horde,Shaman,0,10,25,4955,43833,234,heal,0.0
303,WG16,Alliance,Hunter,2,5,57,31076,4839,416,dps,1.0
304,WG16,Alliance,Warrior,2,2,54,18823,5387,561,dps,1.0
305,WG16,Horde,Paladin,0,6,27,2618,57836,242,heal,0.0
306,WG16,Alliance,Paladin,13,3,57,37267,11643,422,dps,1.0
307,WG16,Alliance,Druid,3,3,56,17418,16583,416,dps,1.0
308,WG16,Horde,Monk,2,5,25,31043,16953,238,dps,0.0
309,WG16,Alliance,Priest,13,3,62,48575,19527,578,dps,1.0
310,WG16,Horde,Paladin,8,9,23,42133,9465,230,dps,0.0
311,WG16,Horde,Mage,2,4,24,25663,13130,233,dps,0.0
312,WG16,Horde,Paladin,7,9,23,32757,12189,230,dps,0.0
313,WG16,Alliance,Shaman,1,3,61,6332,54914,580,heal,1.0
314,WG17,Alliance,Warlock,3,2,23,30895,7157,665,dps,1.0
315,WG17,Horde,Mage,8,6,38,85175,23305,219,dps,0.0
316,WG17,Horde,Warrior,9,6,40,46851,8477,225,dps,0.0
317,WG17,Alliance,Hunter,2,5,46,38946,11987,782,dps,1.0
318,WG17,Alliance,Priest,15,4,49,123000,35145,563,dps,1.0
319,WG17,Alliance,Hunter,7,8,41,132000,25295,532,dps,1.0
320,WG17,Horde,Shaman,0,6,40,10874,150000,225,heal,0.0
321,WG17,Horde,Warlock,3,5,22,53580,38579,189,dps,0.0
322,WG17,Alliance,Demon Hunter,4,4,37,41529,9268,747,dps,1.0
323,WG17,Horde,Warlock,3,5,31,19953,17449,208,dps,0.0
324,WG17,Horde,Death Knight,2,6,41,42427,26412,226,dps,0.0
325,WG17,Alliance,Warlock,3,5,27,52437,35221,718,dps,1.0
326,WG17,Horde,Hunter,8,5,47,47375,13113,239,dps,0.0
327,WG17,Horde,Paladin,7,4,35,50943,27311,213,dps,0.0
328,WG17,Alliance,Druid,0,6,47,1244,81587,779,heal,1.0
329,WG17,Alliance,Druid,5,3,43,89434,8523,771,dps,1.0
330,WG17,Alliance,Hunter,7,3,47,63903,12224,562,dps,1.0
331,WG17,Horde,Warrior,5,8,39,59106,23215,222,dps,0.0
332,WG17,Horde,Paladin,6,6,42,78565,42581,228,dps,0.0
333,WG17,Alliance,Demon Hunter,11,11,48,109000,9050,562,dps,1.0
334,BG1,Alliance,Monk,0,2,17,1404,111000,213,heal,0.0
335,BG1,Horde,Shaman,2,4,17,23373,5920,358,dps,1.0
336,BG1,Alliance,Paladin,3,4,17,72205,35392,211,dps,0.0
337,BG1,Alliance,Demon Hunter,0,6,1,13751,1416,177,dps,0.0
338,BG1,Horde,Warlock,3,1,25,46804,16934,520,dps,1.0
339,BG1,Horde,Mage,4,1,16,39910,3120,364,dps,1.0
340,BG1,Horde,Warrior,5,1,27,62571,17566,374,dps,1.0
341,BG1,Alliance,Priest,1,3,19,7340,48071,216,heal,0.0
342,BG1,Alliance,Hunter,3,3,19,46793,11099,218,dps,0.0
343,BG1,Alliance,Shaman,0,3,24,14956,70297,232,heal,0.0
344,BG1,Horde,Shaman,0,8,19,3896,70444,508,heal,1.0
345,BG1,Horde,Warrior,4,0,30,38997,9283,384,dps,1.0
346,BG1,Alliance,Mage,1,6,11,20832,8656,197,dps,0.0
347,BG1,Horde,Warlock,4,2,27,79679,31249,374,dps,1.0
348,BG1,Alliance,Monk,2,2,21,34753,11306,224,dps,0.0
349,BG1,Alliance,Warrior,13,2,24,99446,16581,232,dps,0.0
350,BG1,Horde,Priest,1,3,18,16276,79725,514,heal,1.0
351,BG1,Horde,Hunter,6,2,24,57857,17782,368,dps,1.0
352,BG1,Horde,Warrior,0,3,16,16256,3467,352,dps,1.0
353,BG1,Alliance,Hunter,0,1,7,9475,1849,189,dps,0.0
354,BG2,Alliance,Paladin,1,4,11,12144,4054,188,dps,0.0
355,BG2,Alliance,Demon Hunter,0,7,9,12337,6720,183,dps,0.0
356,BG2,Alliance,Demon Hunter,3,6,13,36969,3986,194,dps,0.0
357,BG2,Alliance,Warrior,0,6,8,14450,3295,184,dps,0.0
358,BG2,Horde,Shaman,1,2,45,5337,55768,547,heal,1.0
359,BG2,Alliance,Druid,0,5,7,270,28254,183,heal,0.0
360,BG2,Alliance,Demon Hunter,1,0,4,8489,309,173,dps,0.0
361,BG2,Horde,Warlock,5,1,48,16152,8432,405,dps,1.0
362,BG2,Horde,Warlock,4,2,52,31053,12454,411,dps,1.0
363,BG2,Horde,Priest,0,2,46,1484,39236,399,heal,1.0
364,BG2,Horde,Mage,3,1,49,31740,3400,405,dps,1.0
365,BG2,Horde,Hunter,11,0,54,35220,887,415,dps,1.0
366,BG2,Horde,Shaman,6,1,24,13117,1164,358,dps,1.0
367,BG2,Alliance,Warrior,2,5,9,17113,1766,187,dps,0.0
368,BG2,Alliance,Paladin,3,6,9,31140,8288,187,dps,0.0
369,BG2,Alliance,Paladin,4,8,10,49434,18988,185,dps,0.0
370,BG2,Horde,Mage,12,1,56,54907,3873,419,dps,1.0
371,BG2,Horde,Death Knight,7,2,51,33027,17150,409,dps,1.0
372,BG2,Horde,Mage,6,2,51,38638,2456,559,dps,1.0
373,BG2,Alliance,Shaman,0,9,10,6983,41303,186,heal,0.0
374,BG3,Alliance,Monk,0,6,4,9076,8398,143,dps,0.0
375,BG3,Horde,Death Knight,5,0,22,25425,6302,520,dps,1.0
376,BG3,Horde,Hunter,4,1,29,30894,2304,377,dps,1.0
377,BG3,Horde,Druid,0,0,37,5414,70045,542,heal,1.0
378,BG3,Horde,Warlock,6,1,24,25013,16005,367,dps,1.0
379,BG3,Alliance,Demon Hunter,0,6,6,8472,1798,147,dps,0.0
380,BG3,Horde,Paladin,1,1,34,10538,24935,544,heal,1.0
381,BG3,Alliance,Monk,0,5,8,1556,44968,152,heal,0.0
382,BG3,Alliance,Druid,0,3,5,17832,2562,146,dps,0.0
383,BG3,Alliance,Shaman,0,0,3,7081,442,101,dps,0.0
384,BG3,Horde,Rogue,2,1,12,11182,1967,343,dps,1.0
385,BG3,Horde,Rogue,3,1,24,16420,8102,367,dps,1.0
386,BG3,Alliance,Demon Hunter,3,4,4,38595,6677,144,dps,0.0
387,BG3,Alliance,Warrior,1,1,5,6260,870,145,dps,0.0
388,BG3,Horde,Shaman,0,1,24,3903,21364,516,heal,1.0
389,BG3,Horde,Hunter,9,0,33,49713,5274,534,dps,1.0
390,BG3,Alliance,Priest,0,5,3,5137,29520,141,heal,0.0
391,BG3,Alliance,Warrior,1,5,4,12083,91,143,dps,0.0
392,BG3,Alliance,Mage,3,3,7,28483,5374,65,dps,0.0
393,BG3,Horde,Shaman,11,2,38,38895,6568,544,dps,1.0
394,BG4,Alliance,Shaman,0,2,19,5362,1982,764,dps,1.0
395,BG4,Alliance,Priest,9,0,37,68070,7779,604,dps,1.0
396,BG4,Alliance,Monk,7,1,37,33215,7643,604,dps,1.0
397,BG4,Alliance,Paladin,8,0,39,72723,22079,612,dps,1.0
398,BG4,Horde,Hunter,0,4,0,35874,5516,115,dps,0.0
399,BG4,Horde,Hunter,0,3,2,8092,4200,110,dps,0.0
400,BG4,Horde,Mage,3,2,5,16626,3718,126,dps,0.0
401,BG4,Horde,Shaman,0,9,0,3159,31023,115,heal,0.0
402,BG4,Horde,Monk,0,3,1,10158,15965,117,heal,0.0
403,BG4,Alliance,Demon Hunter,1,0,9,9851,1973,509,dps,1.0
404,BG4,Horde,Warlock,1,1,5,38656,17995,136,dps,0.0
405,BG4,Horde,Mage,1,3,3,14831,13896,124,dps,0.0
406,BG4,Horde,Paladin,0,4,1,14915,10955,117,dps,0.0
407,BG4,Alliance,Warrior,2,1,22,21614,5073,551,dps,1.0
408,BG4,Alliance,Shaman,0,0,39,7135,90943,612,heal,1.0
409,BG4,Horde,Demon Hunter,0,2,1,5971,0,117,dps,0.0
410,BG4,Alliance,Paladin,3,1,20,21950,6446,547,dps,1.0
411,BG4,Alliance,Paladin,0,0,8,3575,3463,507,dps,1.0
412,BG4,Horde,Warlock,0,5,1,27489,19149,117,dps,0.0
413,BG4,Alliance,Warlock,11,0,38,75321,22441,608,dps,1.0
414,BG5,Horde,Druid,0,0,20,1838,52542,358,heal,1.0
415,BG5,Horde,Warrior,2,0,9,19349,315,487,dps,1.0
416,BG5,Horde,Hunter,6,1,18,93288,7983,355,dps,1.0
417,BG5,Alliance,Priest,0,4,1,13500,42184,205,heal,0.0
418,BG5,Horde,Priest,2,0,22,28188,4095,514,dps,1.0
419,BG5,Horde,Shaman,0,0,22,3021,62329,363,heal,1.0
420,BG5,Horde,Demon Hunter,6,0,22,47380,7762,515,dps,1.0
421,BG5,Alliance,Priest,2,1,3,47257,26763,211,dps,0.0
422,BG5,Alliance,Shaman,0,1,3,25257,25648,211,heal,0.0
423,BG5,Alliance,Mage,0,5,0,11521,10533,202,dps,0.0
424,BG5,Horde,Shaman,0,0,14,3011,14531,498,heal,1.0
425,BG5,Horde,Rogue,3,1,20,32965,2700,359,dps,1.0
426,BG5,Alliance,Hunter,0,2,1,13386,2302,175,dps,0.0
427,BG5,Alliance,Shaman,0,2,1,10012,19590,205,heal,0.0
428,BG5,Alliance,Warrior,0,1,3,4461,105,211,dps,0.0
429,BG5,Alliance,Paladin,0,1,3,6852,1536,211,dps,0.0
430,BG5,Alliance,Hunter,0,2,2,51929,9739,208,dps,0.0
431,BG5,Alliance,Hunter,1,3,3,33120,3651,211,dps,0.0
432,BG5,Horde,Warlock,3,1,18,24069,11209,505,dps,1.0
433,BG5,Horde,Druid,0,0,20,743,64975,359,heal,1.0
